,period,minute,location,under_pressure,player_name,pattern_of_play,team,player_position,statsbomb_xg,technique,body_part,tipe,first_time,goal,location_x,location_y,distance,angle
4439,1,34,"[98.6, 38.6]",0.0,Rachel Furness,Regular Play,Liverpool WFC,Center Defensive Midfield,0.08786711,Normal,Right Foot,Open Play,1,0,98.6,38.6,21.445745498816315,0.3680792260886609
4440,1,46,"[83.0, 32.7]",0.0,Jade Bailey,From Free Kick,Liverpool WFC,Left Center Midfield,0.018963518,Normal,Right Foot,Free Kick,0,0,83.0,32.7,37.71326026744439,0.20745465460429913
4441,2,47,"[89.9, 24.2]",0.0,Melissa Lawley,Regular Play,Liverpool WFC,Right Wing,0.013203529,Normal,Right Foot,Open Play,0,0,89.9,24.2,33.99485255152609,0.2082302020866203
4442,2,50,"[104.2, 29.0]",0.0,Rachel Furness,Regular Play,Liverpool WFC,Center Defensive Midfield,0.06154956,Normal,Left Foot,Open Play,0,0,104.2,29.0,19.252012881774203,0.3423807341974065
4443,2,51,"[98.9, 41.6]",0.0,Jasmine Matthews,Regular Play,Bristol City WFC,Left Defensive Midfield,0.057093047,Normal,Left Foot,Open Play,0,0,98.9,41.6,21.160576551691584,0.37267942244328367
4444,2,56,"[104.8, 29.0]",0.0,Olivia Chance,From Corner,Bristol City WFC,Right Defensive Midfield,0.042354405,Normal,Left Foot,Open Play,1,0,104.8,29.0,18.762729012593027,0.34720269243127533
4445,2,59,"[90.7, 39.5]",1.0,Ebony Salmon,From Free Kick,Bristol City WFC,Left Wing,0.019195186,Normal,Right Foot,Open Play,1,0,90.7,39.5,29.30426590105952,0.27128342044367065
4446,2,60,"[104.0, 24.4]",1.0,Ebony Salmon,Regular Play,Bristol City WFC,Left Wing,0.023143431,Normal,Right Foot,Open Play,0,0,104.0,24.4,22.346364357541475,0.2588709702063533
4447,2,61,"[114.6, 38.0]",1.0,Charlie Wellings,Regular Play,Bristol City WFC,Center Attacking Midfield,0.27380523,Normal,Left Foot,Open Play,0,0,114.6,38.0,5.758472019555192,1.1926868770193295
4448,2,62,"[108.1, 40.2]",0.0,Charlie Wellings,Other,Bristol City WFC,Center Attacking Midfield,0.76,Normal,Right Foot,Penalty,0,0,108.1,40.2,11.901680553602509,0.6483856170166347
4449,2,62,"[113.0, 31.6]",1.0,Poppy Pattinson,Other,Bristol City WFC,Left Back,0.23545218,Normal,Left Foot,Open Play,1,0,113.0,31.6,10.934349546269315,0.49571323350801083
4450,2,62,"[108.3, 51.3]",1.0,Rinsola Babajide,From Counter,Liverpool WFC,Center Forward,0.07882099,Normal,Left Foot,Open Play,0,0,108.3,51.3,16.265915283192644,0.36011901970725824
4451,2,70,"[114.1, 37.3]",0.0,Rhiannon Roberts,From Corner,Liverpool WFC,Right Center Midfield,0.082509294,Normal,Head,Open Play,0,0,114.1,37.3,6.48845127900334,1.0656787310306879
4452,2,71,"[105.2, 52.6]",1.0,Rinsola Babajide,Regular Play,Liverpool WFC,Center Forward,0.072380856,Normal,Left Foot,Open Play,0,0,105.2,52.6,19.43707796969493,0.31626797101843784
